V_i=5000,V_h=7000
Ising: E=0.1414, m=-0.707;  Heat bath: E=0.2655, T = 0.983; E_tot=0.222∓0.016
Ising: E=0.1461, m=-0.480;  Heat bath: E=0.2626, T = 0.968; E_tot=0.221∓0.016
Ising: E=0.1477, m=-0.460;  Heat bath: E=0.2606, T = 0.959; E_tot=0.220∓0.016
Ising: E=0.1412, m=-0.594;  Heat bath: E=0.2631, T = 0.971; E_tot=0.220∓0.016
Ising: E=0.1417, m=-0.642;  Heat bath: E=0.2621, T = 0.966; E_tot=0.220∓0.016
Ising: E=0.1366, m=-0.660;  Heat bath: E=0.2626, T = 0.969; E_tot=0.219∓0.016
Ising: E=0.1340, m=-0.676;  Heat bath: E=0.2634, T = 0.972; E_tot=0.219∓0.016
Ising: E=0.1348, m=-0.678;  Heat bath: E=0.2620, T = 0.966; E_tot=0.218∓0.016
Ising: E=0.1348, m=-0.628;  Heat bath: E=0.2615, T = 0.963; E_tot=0.218∓0.016
Ising: E=0.1329, m=-0.690;  Heat bath: E=0.2609, T = 0.960; E_tot=0.217∓0.016
Ising: E=0.1416, m=-0.664;  Heat bath: E=0.2575, T = 0.944; E_tot=0.216∓0.016
Ising: E=0.1348, m=-0.549;  Heat bath: E=0.2594, T = 0.953; E_tot=0.216∓0.016
Ising: E=0.1336, m=-0.689;  Heat bath: E=0.2591, T = 0.952; E_tot=0.216∓0.016
Ising: E=0.1310, m=-0.654;  Heat bath: E=0.2589, T = 0.951; E_tot=0.215∓0.016
Ising: E=0.1299, m=-0.568;  Heat bath: E=0.2591, T = 0.952; E_tot=0.215∓0.016
Ising: E=0.1260, m=-0.617;  Heat bath: E=0.2592, T = 0.952; E_tot=0.214∓0.016
Ising: E=0.1301, m=-0.588;  Heat bath: E=0.2570, T = 0.942; E_tot=0.213∓0.016
Ising: E=0.1258, m=-0.578;  Heat bath: E=0.2576, T = 0.945; E_tot=0.212∓0.016
Ising: E=0.1307, m=-0.599;  Heat bath: E=0.2547, T = 0.932; E_tot=0.212∓0.016
Ising: E=0.1259, m=-0.679;  Heat bath: E=0.2561, T = 0.938; E_tot=0.211∓0.016
Ising: E=0.1220, m=-0.746;  Heat bath: E=0.2560, T = 0.937; E_tot=0.210∓0.016
Ising: E=0.1223, m=-0.762;  Heat bath: E=0.2566, T = 0.940; E_tot=0.211∓0.016
Ising: E=0.1231, m=-0.676;  Heat bath: E=0.2558, T = 0.936; E_tot=0.210∓0.016
Ising: E=0.1192, m=-0.763;  Heat bath: E=0.2565, T = 0.940; E_tot=0.210∓0.016
Ising: E=0.1202, m=-0.729;  Heat bath: E=0.2555, T = 0.935; E_tot=0.209∓0.016
Ising: E=0.1196, m=-0.712;  Heat bath: E=0.2546, T = 0.931; E_tot=0.208∓0.016
Ising: E=0.1222, m=-0.729;  Heat bath: E=0.2526, T = 0.922; E_tot=0.208∓0.016
Ising: E=0.1253, m=-0.700;  Heat bath: E=0.2512, T = 0.915; E_tot=0.207∓0.016
Ising: E=0.1267, m=-0.695;  Heat bath: E=0.2510, T = 0.915; E_tot=0.208∓0.016
Ising: E=0.1228, m=-0.596;  Heat bath: E=0.2518, T = 0.918; E_tot=0.207∓0.016
Ising: E=0.1216, m=-0.734;  Heat bath: E=0.2509, T = 0.914; E_tot=0.206∓0.016
Ising: E=0.1241, m=-0.733;  Heat bath: E=0.2490, T = 0.906; E_tot=0.206∓0.016
Ising: E=0.1182, m=-0.775;  Heat bath: E=0.2514, T = 0.916; E_tot=0.206∓0.016
Ising: E=0.1211, m=-0.709;  Heat bath: E=0.2492, T = 0.907; E_tot=0.205∓0.016
Ising: E=0.1217, m=-0.695;  Heat bath: E=0.2476, T = 0.900; E_tot=0.204∓0.016
Ising: E=0.1193, m=-0.618;  Heat bath: E=0.2483, T = 0.903; E_tot=0.204∓0.016
Ising: E=0.1143, m=-0.579;  Heat bath: E=0.2499, T = 0.910; E_tot=0.204∓0.016
